Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,21.399000,33.706000,180.000000,TopLayer
C2,10uF,C_1206_3216Metric,23.874000,35.992000,180.000000,TopLayer
C3,1nF,C_0603_1608Metric,18.160000,35.230000,0.000000,TopLayer
C4,1nF,C_0603_1608Metric,18.160000,44.120000,180.000000,TopLayer
C5,10uF,C_1206_3216Metric,49.020000,45.390000,0.000000,TopLayer
C6,0.1uF,C_0603_1608Metric,51.511000,49.848000,-90.000000,TopLayer
C7,15p,C_0402_1005Metric,38.390000,29.050000,90.000000,TopLayer
C8,15p,C_0402_1005Metric,38.390000,26.002000,-90.000000,TopLayer
C9,10uF,C_0805_2012Metric,64.421000,19.914000,-90.000000,TopLayer
C10,100nF,C_0402_1005Metric,60.956000,35.229000,90.000000,TopLayer
C11,10uF,C_0805_2012Metric,52.737000,16.292000,-90.000000,TopLayer
C12,4.7uF,C_0402_1005Metric_small_pads,54.584400,25.019200,-90.000000,TopLayer
C13,4.7uF,C_0402_1005Metric_small_pads,55.600400,25.019200,-90.000000,TopLayer
C14,100nF,C_0402_1005Metric,48.927000,21.438000,-90.000000,TopLayer
C15,4.7uF,C_0402_1005Metric,52.483000,21.410000,-90.000000,TopLayer
C16,4.7uF,C_0402_1005Metric,49.435000,35.154000,90.000000,TopLayer
C17,100nF,C_0402_1005Metric,41.681200,27.305200,180.000000,TopLayer
C18,100nF,C_0402_1005Metric,47.911000,19.434000,-90.000000,TopLayer
C19,100nF,C_0402_1005Metric,51.467000,19.434000,-90.000000,TopLayer
C20,100nF,C_0402_1005Metric,55.295600,29.820000,0.000000,TopLayer
C21,100nF,C_0402_1005Metric,44.863000,20.419200,-90.000000,TopLayer
C22,100nF,C_0402_1005Metric,51.467000,36.904000,90.000000,TopLayer
C23,100nF,C_0402_1005Metric,40.291000,29.312000,180.000000,TopLayer
C24,100nF,C_0402_1005Metric,47.403000,36.932000,90.000000,TopLayer
C25,10uF,C_0805_2012Metric,48.419000,41.692000,-90.000000,TopLayer
C26,0.1uF,C_0603_1608Metric,49.860000,-13.030000,90.000000,TopLayer
C27,0.1uF,C_0603_1608Metric,21.615200,50.724000,0.000000,TopLayer
D1,SS14,D_SMA,45.605000,-11.220000,90.000000,TopLayer
D2,SS12,D_SMA,45.491000,7.925000,0.000000,TopLayer
D3,1N4148W,D_SOD-123,51.892000,-8.458000,90.000000,TopLayer
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,27.648800,48.629600,0.000000,TopLayer
FB1,FerriteBead_Small,L_0805_2012Metric,14.062500,37.770000,180.000000,TopLayer
FB2,FerriteBead_Small,L_0805_2012Metric,14.062500,41.580000,180.000000,TopLayer
H1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,23.063000,-7.442000,-90.000000,TopLayer
