Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C26, C27, C6",0603,4,0.1uF,
"C10, C14, C17, C18, C19, C20, C21, C22, C23, C24",0402,10,100nF,
"C11, C25, C9",0805,3,10uF,
"C12, C13, C15, C16",0402,4,4.7uF,
"C2, C5",1206,2,10uF,
"C3, C4",0603,2,1nF,
"C7, C8",0402,2,15p,
D1,D_SMA,1,SS14,
D2,D_SMA,1,SS12,
D3,D_SOD-123,1,1N4148W,
D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
"FB1, FB2",0805,2,FerriteBead_Small,
"H1, H13, H2, H3",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02,
H12,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Conn_01x02,
J1,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J7,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
L1,L_pol_2016,1,3.3u,
Q1,SOT-23,1,2N7002,
"R1, R2",0603,2,330R,
"R10, R12, R14",0402,3,1k,
"R11, R8",0402,2,5.1K,
R13,0402,1,33R,
"R15, R16",0402,2,27R,
R17,0402,1,100K,
R3,0603,1,1K,
R4,0603,1,2K,
R5,2512,1,47R,
"R6, R9",0402,2,DNF,
R7,0402,1,0,
RN1,R_Array_Convex_4x0603,1,47K,
"S1, S2",SW_TS-1187A-B-A-B,2,TS-1187A-B-A-B,
SUPER_CAP1,CP_Radial_D14.0mm_P5.00mm,1,1F,
U1,SO-4_4.4x3.6mm_P2.54mm,1,Optocoupler_DC_PhotoNPN_AKEC,
U2,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U4,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U5,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
