Designator,Mid X,Mid Y,Rotation,Layer
C1,21.399,33.706,180.0,top
C10,60.956,35.229,90.0,top
C11,52.737,16.292,270.0,top
C12,54.5844,25.0192,270.0,top
C13,55.6004,25.0192,270.0,top
C14,48.927,21.438,270.0,top
C15,52.483,21.41,270.0,top
C16,49.435,35.154,90.0,top
C17,41.6812,27.3052,180.0,top
C18,47.911,19.434,270.0,top
C19,51.467,19.434,270.0,top
C2,23.874,35.992,180.0,top
C20,55.2956,29.82,0.0,top
C21,44.863,20.4192,270.0,top
C22,51.467,36.904,90.0,top
C23,40.291,29.312,180.0,top
C24,47.403,36.932,90.0,top
C25,48.419,41.692,270.0,top
C26,49.86,-13.03,90.0,top
C27,21.6152,50.724,0.0,top
C3,18.16,35.23,0.0,top
C4,18.16,44.12,180.0,top
C5,49.02,45.39,0.0,top
C6,51.511,49.848,270.0,top
C7,38.39,29.05,90.0,top
C8,38.39,26.002,270.0,top
C9,64.421,19.914,270.0,top
D1,45.605,-11.22,90.0,top
D2,45.491,7.925,0.0,top
D3,51.892,-8.458,90.0,top
D4,27.6488,48.6296,0.0,top
FB1,14.0625,37.77,180.0,top
FB2,14.0625,41.58,180.0,top
H1,21.793,-7.442,270.0,top
H10,60.02,48.95,180.0,top
H11,60.02,-12.77,0.0,top
H12,7.505,39.83,270.0,top
H13,31.953,-7.442,270.0,top
H2,21.793,0.94,270.0,top
H3,31.953,0.94,270.0,top
H4,-23.059541,30.15,0.0,top
H5,12.500459,30.15,0.0,top
H6,12.500459,-4.14,0.0,top
H7,-23.059541,-4.14,0.0,top
H8,-16.58,48.95,180.0,top
H9,-16.58,-12.77,0.0,top
J1,39.586,45.02,0.0,top
J2,23.19,26.0352,270.0,top
J4,68.91,28.37,90.0,top
J6,24.323,18.974,90.0,top
J7,25.593,10.719,90.0,top
L1,57.226,24.678,270.0,top
Q1,54.0025,-13.03,180.0,top
R1,20.206,6.02,0.0,top
R10,38.898,27.554,180.0,top
R11,62.05,31.42,180.0,top
R12,23.95,-15.57,180.0,top
R13,53.499,21.436,90.0,top
R14,53.0215,44.552,90.0,top
R15,55.023,28.55,180.0,top
R16,55.023,27.534,180.0,top
R17,49.86,-9.73,90.0,top
R2,30.874,5.893,180.0,top
R3,45.605,-5.41,180.0,top
R4,45.605,-2.87,180.0,top
R5,45.3735,2.845,0.0,top
R6,61.718,40.337,180.0,top
R7,61.21,42.371,270.0,top
R8,62.05,26.34,180.0,top
R9,61.718,38.813,180.0,top
RN1,48.452,49.181,90.0,top
S1,31.62,-13.635,180.0,top
S2,68.1,39.705,0.0,top
SUPER_CAP1,61.457,3.48,0.0,top
U1,36.169,9.297,90.0,top
U2,22.5775,40.83,0.0,top
U3,56.801,38.456,180.0,top
U4,58.477,19.646,0.0,top
U5,48.597,28.226,270.0,top
Y1,34.746,27.638,270.0,top
